Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
AR,/ɑr/,ar,v.,(unwillingly) serve,,,,
AM,/ɑm/,am,v.,(willingly) serve,,,,
ZÛ,/zuu/,zuu,pron.,I (fem), me (fem), mine (fem),,
ZÛ,/zuu/,zuu,pron.,I (masc), me (masc), mine (masc),,
ZÛ,/zuu/,zuu,pron.,I (neut), me (neut), mine (neut),,
AN,/ɑn/,an,art.,a, an,,,
LEH,/lɛh/,leh,v.,abandon, desert,,,
WIFɔLIH,/wifɔlih/,wifoolih,n.,abdomen,,,,
KÂN,/kɑhn/,kaan,n.,abdomen, midriff,,,
YÄHA,/jæhɑ/,ya'ha,n.,ability,,,,
SUHOZ,/suhoz/,suhoz,adj.,able, capable,,,
DÍBAK,/dirbɑk/,dirbak,adv.,aboard,,,,
WOH,/woh/,woh,v.,abolish,,,,
YUS,/jus/,yus,adv.,about,,,,
VÚKYUZÚT,/vurkjuzurt/,vurkyuzurt,prep.,about, concerning, regarding,,
KUKNÄSIN,/kuknæsin/,kukna'sin,prep.,above,,,,
RISYLBE,/risjlbɛ/,risylbe,n.,absence,,,,
FEKYGNI,/fəkjgni/,fekygni,adj.,absent,,,,
VOK,/vok/,vok,v.,absorb,,,,
VÄJÚKON,/vædʒurkon/,va'jurkon,adj.,absurd,,,,
NOSZOSÂH,/noszosɑhh/,noszosaah,adj.,abundant,,,,
SÚNNÁ,/surnnaɪ̯/,surnnaii̯,v.,abuse,,,,
JA,/dʒɑ/,ja,v.,abuse, violate,,,
RÄMɔ,/ræmɔ/,ra'moo,n.,abuse,,,,
FUFINIG,/fufinig/,fufinig,adj.,academic,,,,
YEDÍSIH,/jədirsih/,yedirsih,n.,accent (of language),,,,
MɔNI,/mɔni/,mooni,v.,accept,,,,
VAMAK,/vɑmɑk/,vamak,v.,access,,,,
FÍTEZÚK,/firtɛzurk/,firtezurk,n.,accessory,,,,
RUHɔNIN,/ruhɔnin/,ruhoonin,n.,accident, catastrophe,,,
SUS,/sus/,sus,v.,accompany,,,,
PÍG,/pirg/,pirg,prep.,according to,,,,
REYɔ,/rɛjɔ/,reyoo,n.,accountant,,,,
KÄNU,/kænu/,ka'nu,adj.,accurate, specific, particular,,
BÍTIL,/birtil/,birtil,adj.,accurate, exact, precise, specific, particular
MÄGÚK,/mægurk/,ma'gurk,adj.,accurate, valid,,,
WÂRI,/wɑhri/,waari,v.,accuse,,,,
HÄH,/hæh/,ha'h,v.,ache,,,,
TEBÄL,/təbæl/,teba'l,v.,achieve, accomplish,,,
LÂG,/lɑhg/,laag,n.,acid,,,,
LÍGYUNOK,/lirgjunok/,lirgyunok,n.,acquaintance,,,,
YEKNÚZ,/jɛknurz/,yeknurz,v.,acquire,,,,
NELÂ,/nəlɑh/,nelaa,n.,acronym,,,,
MENIHOK,/mɛnihok/,menihok,prep.,across,,,,
RÚS,/rurs/,rurs,v.,act, behave,,,
PEGOL,/pɛgol/,pegol,n.,action (movement),,,,
